SITE_ID,VISIT_NO,DATE_COL,E_I,RT
NLA06608-R318,1,8/16/07,0.213,0.9
NLA06608-R319,1,9/18/07,0.029,0.02
NLA06608-R32,1,8/1/07,0.008,0.08
NLA06608-R322,1,9/4/07,0.017,0.15
NLA06608-R323,1,9/19/07,0.202,0.25
NLA06608-R324,1,9/20/07,0.371,1.42
NLA06608-R326,1,9/18/07,0.235,0.31
NLA06608-R328,1,9/6/07,0.018,0.09
NLA06608-R333,1,9/17/07,0.159,0.29
NLA06608-R334,1,8/8/07,0.12,0.18
NLA06608-R336,1,8/21/07,0.184,0.44
NLA06608-R34,1,8/28/07,0.09,0.31
NLA06608-R5:KATHRYN,1,8/22/07,0.398,2.22
NLA06608-R5:OTTAWA,1,8/23/07,0.202,0.37
NLA06608-R7101,1,9/18/07,0.969,0.82
NLA06608-R7103,1,9/18/07,0.942,0.61
NLA06608-R7104,1,9/18/07,1.12,0.63
NLA06608-R7106,1,9/20/07,0.462,0.87
NLA06608-R715,1,8/30/07,0.266,0.62
NLA06608-R716,1,8/31/07,0.346,1.46
NLA06608-R723,1,8/23/07,0.207,0.37
NLA06608-R728,1,8/15/07,0.456,1.04
NLA06608-R730,1,7/3/07,0.43,1.79
NLA06608-R733,1,7/2/07,0.216,0.99
NLA06608-R736,1,7/12/07,0.164,1.26
NLA06608-R746,1,7/16/07,0.16,0.53
NLA06608-R750,1,7/18/07,0.112,0.18
NLA06608-R759,1,7/26/07,0.71,5.66
NLA06608-R764,1,8/24/07,0.055,0.08
NLA06608-R767,1,8/2/07,0.19,1.18
NLA06608-R769,1,8/1/07,0.131,0.2
NLA06608-R770,1,8/2/07,0.139,0.36
NLA06608-R772,1,9/7/07,0.359,1.37
NLA06608-R775,1,9/6/07,0.239,1.31
NLA06608-R784,1,9/20/07,0.142,0.32
NLA06608-R788,1,9/18/07,1.043,0.62
NLA06608-R791,1,9/19/07,0.639,0.32
NLA06608-R792,1,9/19/07,0.727,0.42
NLA06608-R796,1,9/19/07,0.718,0.44
NLA06608-TX:10,1,9/11/07,0.256,0.02
NLA06608-TX:14,1,9/10/07,0.195,1.23
NLA06608-TX:15,1,9/8/07,0.336,2.49
NLA06608-TX:19,1,9/15/07,0.267,0.9
NLA06608-TX:22,1,9/17/07,0.115,0.19
NLA06608-TX:27,1,9/6/07,0.234,0.39
NLA06608-TX:29,1,9/13/07,0.051,0.32
NLA06608-TX:30,1,9/18/07,0.176,0.12
NLA06608-TX:5,1,9/5/07,0.149,0.52
NLA06608-WI:LOWES,1,7/11/07,0.001,0
NLA06608-WI:SY,1,7/17/07,0.161,0.75
NLA06608-0002,2,7/23/07,0.467,0.33
NLA06608-0003,2,9/6/07,0.181,0.15
NLA06608-0004,2,9/11/07,0.376,1.38
NLA06608-0005,2,8/22/07,0.11,0.64
NLA06608-0006,2,8/30/07,0.027,0.38
NLA06608-0007,2,9/6/07,0.471,6.49
NLA06608-0008,2,8/22/07,0.41,0.83
NLA06608-0010,2,8/18/07,0.299,1.93
NLA06608-0012,2,9/18/07,0.106,0.13
NLA06608-0013,2,9/14/07,0.01,0.01
NLA06608-0014,2,8/23/07,0.755,0.92
NLA06608-0015,2,8/29/07,0.15,0.22
NLA06608-0016,2,7/11/07,0.349,1.16
NLA06608-0019,2,8/7/07,0.71,0.37
NLA06608-0020,2,7/2/07,0.055,0.17
NLA06608-0021,2,8/30/07,0.075,2.88
NLA06608-0023,2,9/19/07,0.063,0.08
NLA06608-0024,2,8/14/07,0.122,0.41
NLA06608-0025,2,7/18/07,0.194,0.46
NLA06608-0029,2,9/11/07,0.19,0.11
NLA06608-0031,2,9/5/07,0.121,0.21
NLA06608-0033,2,8/28/07,0.231,0.29
NLA06608-0036,2,7/16/07,0.167,0.33
NLA06608-0037,2,9/5/07,0.038,0.23
NLA06608-0038,2,8/27/07,0.187,1.53
NLA06608-0041,2,7/11/07,0.129,1.95
NLA06608-0042,2,7/6/07,0.069,0.91
NLA06608-0043,2,8/15/07,0.21,1.67
NLA06608-0044,2,7/30/07,0.465,0.41
NLA06608-0045,2,8/2/07,0.107,0.07
NLA06608-0048,2,9/18/07,0.56,0.63
NLA06608-0050,2,8/30/07,0.115,0.33
NLA06608-0053,2,9/27/07,0.077,0.18
NLA06608-0057,2,7/14/07,0.229,0.26
NLA06608-0061,2,8/22/07,0.305,1.25
NLA06608-0062,2,8/27/07,0.787,1.31
NLA06608-0064,2,8/26/07,0.748,1.43
NLA06608-0065,2,9/12/07,0.084,0.77
NLA06608-0066,2,9/18/07,0.104,0.85
NLA06608-0068,2,9/12/07,0.083,1.73
NLA06608-0069,2,9/26/07,0.321,0.37
NLA06608-0071,2,9/8/07,0.659,1.02
NLA06608-0072,2,8/15/07,0.163,0.32
NLA06608-0073,2,7/18/07,0.678,146.95
NLA06608-0076,2,9/4/07,0.418,1.05
NLA06608-0077,2,9/13/07,0.331,0.34
NLA06608-0078,2,8/21/07,1.014,0.67
NLA06608-0079,2,8/16/07,0.057,2.5
NLA06608-0080,2,9/10/07,0.365,0.32
NLA06608-0081,2,9/19/07,0.197,0.78
NLA06608-0083,2,8/9/07,0.85,0.77
NLA06608-0085,2,8/20/07,0.658,0.65
NLA06608-0086,2,9/20/07,0.035,0.28
NLA06608-0089,2,7/17/07,0.05,0.21
NLA06608-0090,2,7/25/07,0.195,1.4
NLA06608-0091,2,8/13/07,0.079,0.16
NLA06608-0099,2,9/5/07,0.18,1.77
NLA06608-0104,2,7/24/07,0.255,0.22
NLA06608-0105,2,9/12/07,0.203,0.69
NLA06608-0120,2,9/26/07,0.001,0.01
NLA06608-0126,2,8/28/07,0.847,1.34
NLA06608-0128,2,8/25/07,0.425,0.38
NLA06608-0129,2,9/16/07,0.342,14.77
NLA06608-0144,2,9/13/07,0.323,1.18
NLA06608-0167,2,8/29/07,0.675,0.46
NLA06608-0169,2,9/13/07,0.095,0.66
NLA06608-0174,2,8/28/07,0.572,5.58
NLA06608-0179,2,8/29/07,1.128,0.95
NLA06608-0189,2,7/10/07,0.1,0.22
NLA06608-0207,2,9/5/07,0.67,0.99
NLA06608-0209,2,9/27/07,0.096,1.53
NLA06608-0223,2,8/29/07,0.23,0.27
NLA06608-0224,2,9/23/07,0.404,1.39
NLA06608-0225,2,8/24/07,0.118,4.14
NLA06608-0228,2,8/6/07,0.244,0.71
NLA06608-0237,2,7/17/07,0.371,0.38
NLA06608-0290,2,9/10/07,0.457,0.92
NLA06608-0328,2,9/15/07,0.302,0.31
NLA06608-0388,2,8/26/07,0.215,1.59
NLA06608-0402,2,9/6/07,0.255,0.33
NLA06608-0480,2,9/25/07,0.216,1.28
NLA06608-0562,2,8/21/07,0.085,0.32
NLA06608-0587,2,8/14/07,0.269,1.02
NLA06608-0690,2,8/22/07,0.085,0.2
NLA06608-0794,2,6/28/07,0.089,3.78
NLA06608-0860,2,8/21/07,0.064,0.2
NLA06608-1060,2,8/14/07,0.459,0.32
NLA06608-1108,2,7/2/07,0.115,0.34
NLA06608-1208,2,7/25/07,0.355,0.49
NLA06608-1334,2,8/14/07,0.018,0.33
NLA06608-1355,2,8/21/07,0.165,2.47
NLA06608-1358,2,9/18/07,0.105,0.25
NLA06608-1389,2,8/29/07,0.061,0.04
NLA06608-1684,2,8/21/07,0.125,0.49
NLA06608-1998,2,9/11/07,0.264,0.94
